station_name,lat,lon
1 Ave & E 16 St,40.732091188,-73.98168242
1 Ave & E 18 St,40.73381219196632,-73.98054420948029
1 Ave & E 30 St,40.74144387,-73.97536082
1 Ave & E 6 St,40.72633085971696,-73.98616880178452
1 Ave & E 62 St,40.7612274,-73.96094022
1 Ave & E 68 St,40.76500525,-73.95818491
10 Ave & W 14 St,40.74198159994023,-74.00831580162048
10 Ave & W 28 St,40.750582099,-74.001874924
11 Ave & W 27 St,40.751396,-74.005226
11 Ave & W 41 St,40.76030096,-73.99884222
11 Ave & W 59 St,40.77149671054441,-73.99046033620834
12 Ave & W 40 St,40.76087502,-74.00277668
2 Ave & E 29 St,40.74172351097472,-73.97809267044067
2 Ave & E 31 St,40.74290902,-73.97706058
2 Ave & E 72 St,40.7687620293096,-73.95840793848038
4 Ave & E 12 St,40.732647,-73.99011
5 Ave & E 72 St,40.77282817,-73.96685276
5 Ave & E 78 St,40.77632142182271,-73.96427392959595
5 Ave & E 87 St,40.78232260730881,-73.95987510681152
6 Ave & Broome St,40.72431,-74.00473
6 Ave & W 33 St,40.748925328,-73.989154577
6 Ave & W 34 St,40.74964,-73.98805
6 Ave & W 45 St,40.756951,-73.982631
7 Ave & Central Park South,40.7667405590595,-73.9790689945221
8 Ave & W 16 St,40.740983,-74.001702
8 Ave & W 31 St,40.7505853470215,-73.9946848154068
8 Ave & W 33 St,40.751551,-73.993934
8 Ave & W 38 St,40.754511237,-73.992101073
8 Ave & W 49 St,40.76171227910671,-73.98655101656914
8 Ave & W 52 St,40.76370739,-73.9851615
9 Ave & W 18 St,40.74317449,-74.00366443
9 Ave & W 22 St,40.7454973,-74.00197139
9 Ave & W 45 St,40.759989262,-73.99142015
Allen St & Hester St,40.71605866,-73.99190759
Allen St & Rivington St,40.72019576,-73.98997825
Allen St & Stanton St,40.722055,-73.989111
Amsterdam Ave & W 73 St,40.77966809007312,-73.98093044757842
Amsterdam Ave & W 79 St,40.7829391,-73.9786517
Amsterdam Ave & W 82 St,40.78524672,-73.97667321
Ave A & E 14 St,40.730143428,-73.980765462
Barrow St & Hudson St,40.73172428,-74.00674436
Bergen St & Vanderbilt Ave,40.6794388,-73.9680438
Berry St & N 8 St,40.7190095,-73.95852515
Bleecker St & Crosby St,40.72615604980408,-73.99510189890862
Broadway & E 14 St,40.73454567,-73.99074142
Broadway & E 21 St,40.73988840858996,-73.98958593606949
Broadway & W 25 St,40.74286877312112,-73.98918628692627
Broadway & W 29 St,40.746383548,-73.9886415
Broadway & W 38 St,40.7529728216068,-73.98734897375107
Broadway & W 41 St,40.75513557,-73.98658032
Broadway & W 51 St,40.76228826,-73.98336183
Broadway & W 53 St,40.763636231,-73.982881427
Broadway & W 56 St,40.7652654,-73.98192338
Broadway & W 58 St,40.767172337,-73.981830478
Broadway & W 61 St,40.77003010255044,-73.9819684624672
Canal St & Rutgers St,40.71427487,-73.98990025
Carmine St & 6 Ave,40.73038599,-74.00214988
Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613
Central Park S & 6 Ave,40.76590936,-73.97634151
Central Park W & W 91 St,40.78866499127884,-73.96680057048798
Central Park West & W 68 St,40.7734066,-73.97782542
Central Park West & W 72 St,40.77579376683666,-73.9762057363987
Centre St & Chambers St,40.71273266,-74.0046073
Christopher St & Greenwich St,40.73291553,-74.00711384
Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504
Clinton St & Grand St,40.71559509,-73.9870295
Columbus Ave & W 72 St,40.7770575,-73.97898475
Columbus Ave & W 95 St,40.792097211,-73.967966676
Cooper Square & Astor Pl,40.72951496224949,-73.99075269699097
E 1 St & 1 Ave,40.72335597960796,-73.98864984512329
E 10 St & Avenue A,40.72740794,-73.98142006
E 11 St & 1 Ave,40.72953837,-73.98426726
E 13 St & 2 Ave,40.73153937464073,-73.9853024482727
E 13 St & Avenue A,40.72966729392978,-73.98067966103554
E 15 St & 3 Ave,40.734232,-73.986923
E 16 St & 5 Ave,40.73726186,-73.99238967
E 16 St & Irving Pl,40.735367055605394,-73.98797392845154
E 17 St & Broadway,40.73704984,-73.99009296
E 20 St & 2 Ave,40.73587678,-73.98205027
E 20 St & Park Ave,40.73827428,-73.98751968
E 23 St & 1 Ave,40.736502,-73.97809472
E 25 St & 2 Ave,40.73912601,-73.97973776
E 27 St & 1 Ave,40.739445,-73.976806
E 31 St & 3 Ave,40.74394314,-73.97966069
E 32 St & Park Ave,40.7457121,-73.98194829
E 33 St & 1 Ave,40.74322681432173,-73.97449783980846
E 33 St & 5 Ave,40.74765947,-73.98490707
E 39 St & Lexington Ave,40.7494985460252,-73.97729203113158
E 4 St & 2 Ave,40.7262807,-73.98978041
E 40 St & Park Ave,40.750756,-73.978326
E 44 St & Lexington Ave,40.752643,-73.974996
E 47 St & 2 Ave,40.75323098,-73.97032517
E 47 St & Park Ave,40.75510267,-73.97498696
E 48 St & 5 Ave,40.75724567911726,-73.97805914282799
E 55 St & 2 Ave,40.75797322,-73.96603308
E 58 St & 3 Ave,40.761058211,-73.967259407
E 7 St & Avenue A,40.72621788,-73.98379855
E 72 St & York Ave,40.76663814,-73.95348296
E 74 St & 1 Ave,40.7689738,-73.95482273
E 85 St & 3 Ave,40.77801203,-73.95407149
FDR Drive & E 35 St,40.744269133,-73.971036077
Forsyth St & Canal St,40.7158155,-73.99422366
Fulton St & Broadway,40.711066,-74.009447
Grand Army Plaza & Central Park S,40.7643971,-73.97371465
Grand St & Elizabeth St,40.718822,-73.99596
Great Jones St,40.72743423,-73.99379025
Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103
Greenwich Ave & Charles St,40.735238,-74.000271
Greenwich St & W Houston St,40.728846,-74.008591
Hanson Pl & Ashland Pl,40.68506807308177,-73.97790759801863
Henry St & Grand St,40.714211,-73.981095
Hudson St & W 13 St,40.74005708567285,-74.0052741765976
Kent Ave & N 7 St,40.72036775298455,-73.96165072917938
LaGuardia Pl & W 3 St,40.72917025,-73.99810231
Lafayette St & E 8 St,40.73020660529954,-73.99102628231049
Lafayette St & Jersey St,40.72456089,-73.99565293
Lexington Ave & E 24 St,40.74025878,-73.98409214
Lexington Ave & E 36 St,40.7475739589548,-73.9788007736206
Little West St & 1 Pl,40.705701232,-74.016636729
MacDougal St & Prince St,40.72710258,-74.00297088
Madison Ave & E 26 St,40.742684734875695,-73.98671329021454
Mercer St & Bleecker St,40.72706363348306,-73.99662137031554
Mercer St & Spring St,40.72362738,-73.99949601
Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116
Mott St & Prince St,40.72317958,-73.99480012
Murray St & Greenwich St,40.71485150526252,-74.01122331619263
N 6 St & Bedford Ave,40.71745169,-73.95850939
Norfolk St & Broome St,40.7172274,-73.98802084
North Moore St & Greenwich St,40.72019521437465,-74.0103006362915
Perry St & Bleecker St,40.73535398,-74.00483091
Pier 40 - Hudson River Park,40.7277140777778,-74.01129573583603
Queens Plaza North & Crescent St,40.75110165,-73.94073717
Riverside Blvd & W 67 St,40.777507027547976,-73.98888587951659
Riverside Dr & W 72 St,40.78057799010334,-73.98562431335449
Rivington St & Ridge St,40.71850211,-73.98329859
S 3 St & Bedford Ave,40.71260486,-73.96264403
S 4 St & Wythe Ave,40.71285887,-73.96590294
S 5 Pl & S 5 St,40.710451,-73.960876
St Marks Pl & 1 Ave,40.72779126,-73.98564945
St Marks Pl & 2 Ave,40.7284186,-73.98713956
Stanton St & Chrystie St,40.72229346,-73.99147535
Stanton St & Norfolk St,40.720747,-73.986274
Suffolk St & Stanton St,40.72066442,-73.98517977
Sullivan St & Washington Sq,40.730202436,-73.999395967
Thompson St & Bleecker St,40.72840059450829,-73.99968780577183
University Pl & E 14 St,40.734814,-73.992085
University Pl & E 8 St,40.73143724085228,-73.99490341544151
Vesey Pl & River Terrace,40.7153379,-74.01658354
Vesey St & Church St,40.71221958009051,-74.01047229766846
W 100 St & Broadway,40.7973721,-73.97041192
W 11 St & 6 Ave,40.73532427,-73.99800419
W 13 St & 5 Ave,40.735445,-73.99431
W 13 St & 7 Ave,40.73781509,-73.99994661
W 15 St & 6 Ave,40.738046142482766,-73.99642959237099
W 15 St & 7 Ave,40.73935542,-73.99931783
W 16 St & The High Line,40.74334935,-74.00681753
W 17 St & 8 Ave,40.74177603,-74.00149746
W 18 St & 6 Ave,40.73971301,-73.99456405
W 20 St & 10 Ave,40.745686,-74.005141
W 20 St & 7 Ave,40.74238787,-73.99726235
W 20 St & 8 Ave,40.74345335,-74.00004031
W 21 St & 6 Ave,40.74173969,-73.99415556
W 22 St & 10 Ave,40.74691959,-74.00451887
W 22 St & 8 Ave,40.74475148,-73.99915362
W 24 St & 7 Ave,40.74487634,-73.99529885
W 25 St & 6 Ave,40.74395411,-73.99144871
W 26 St & 10 Ave,40.749717753,-74.002950346
W 27 St & 7 Ave,40.746647,-73.993915
W 29 St & 9 Ave,40.7500727,-73.99839279
W 30 St & 10 Ave,40.752694,-74.002353
W 31 St & 7 Ave,40.749156,-73.9916
W 34 St & 11 Ave,40.75594159,-74.0021163
W 37 St & 10 Ave,40.75660359,-73.9979009
W 4 St & 7 Ave S,40.73401143,-74.00293877
W 41 St & 8 Ave,40.75640548,-73.9900262
W 42 St & 6 Ave,40.75492,-73.98455
W 42 St & 8 Ave,40.7575699,-73.99098507
W 43 St & 10 Ave,40.76009437,-73.99461843
W 44 St & 11 Ave,40.762009,-73.996975
W 44 St & 5 Ave,40.75500254,-73.98014437
W 45 St & 8 Ave,40.75947392,-73.988934755
W 47 St & 10 Ave,40.76269882,-73.99301222
W 49 St & 8 Ave,40.76227205,-73.98788205
W 53 St & 10 Ave,40.76669671,-73.99061728
W 54 St & 11 Ave,40.768333,-73.992573
W 54 St & 9 Ave,40.76584941,-73.98690506
W 55 St & 6 Ave,40.763189,-73.978434
W 59 St & 10 Ave,40.770513,-73.988038
W 63 St & Broadway,40.77163851,-73.98261428
W 64 St & Thelonious Monk Circle,40.77515953434235,-73.98918695747852
W 67 St & Broadway,40.77492513,-73.98266566
W 70 St & Amsterdam Ave,40.777408361,-73.982750893
Washington Pl & 6 Ave,40.73224119,-74.00026394
Washington Pl & Broadway,40.72903917,-73.99404649
Washington St & Gansevoort St,40.739323,-74.008119
West Drive & Prospect Park West,40.6610633719006,-73.97945255041122
West End Ave & W 60 St,40.77237,-73.99005
West St & Chambers St,40.717683315,-74.013174415
West St & Liberty St,40.711444,-74.014847
Wythe Ave & Metropolitan Ave,40.716887,-73.963198
